ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.755899,0.8451549999999999,0.1180799999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 100, 1)",sigmoid,SGD,100.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7505569999999999,0.8351940000000001,0.112766,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 200, 1)",sigmoid,SGD,100.0,100.0,100.0,200.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.75862,0.8476290000000001,0.1173309999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 200, 100, 1)",sigmoid,SGD,100.0,100.0,200.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.751448,0.847383,0.127667,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 200, 100, 100, 1)",sigmoid,SGD,100.0,200.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7535310000000001,0.8633360000000001,0.145721,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 100, 100, 100, 1)",sigmoid,SGD,200.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.757727,0.842191,0.11147,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 300, 1)",sigmoid,SGD,100.0,100.0,100.0,300.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.755289,0.8420790000000001,0.1149099999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 300, 100, 1)",sigmoid,SGD,100.0,100.0,300.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.751842,0.85234,0.13367,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 300, 100, 100, 1)",sigmoid,SGD,100.0,300.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.753634,0.867288,0.150808,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(300, 100, 100, 100, 1)",sigmoid,SGD,300.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7577109999999999,0.834616,0.101496,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 400, 1)",sigmoid,SGD,100.0,100.0,100.0,400.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.759223,0.849949,0.119497,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 400, 100, 1)",sigmoid,SGD,100.0,100.0,400.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.757862,0.8552549999999999,0.1285089999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 400, 100, 100, 1)",sigmoid,SGD,100.0,400.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7562180000000001,0.879101,0.162497,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(400, 100, 100, 100, 1)",sigmoid,SGD,400.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.757789,0.841277,0.110172,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 500, 1)",sigmoid,SGD,100.0,100.0,100.0,500.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.755035,0.839583,0.111979,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 500, 100, 1)",sigmoid,SGD,100.0,100.0,500.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.755139,0.857351,0.135355,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 500, 100, 100, 1)",sigmoid,SGD,100.0,500.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.755808,0.8775,0.1610089999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(500, 100, 100, 100, 1)",sigmoid,SGD,500.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.751897,0.835895,0.111715,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 600, 1)",sigmoid,SGD,100.0,100.0,100.0,600.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.744271,0.8412700000000001,0.130327,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 600, 100, 1)",sigmoid,SGD,100.0,100.0,600.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.759095,0.849527,0.1191319999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 600, 100, 100, 1)",sigmoid,SGD,100.0,600.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.758703,0.879016,0.158577,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(600, 100, 100, 100, 1)",sigmoid,SGD,600.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.754579,0.833317,0.104347,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 700, 1)",sigmoid,SGD,100.0,100.0,100.0,700.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.757973,0.840073,0.108314,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 700, 100, 1)",sigmoid,SGD,100.0,100.0,700.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.76478,0.845617,0.105699,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 700, 100, 100, 1)",sigmoid,SGD,100.0,700.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.749488,0.8769239999999999,0.170031,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(700, 100, 100, 100, 1)",sigmoid,SGD,700.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.747657,0.832624,0.113645,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 800, 1)",sigmoid,SGD,100.0,100.0,100.0,800.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7549739999999999,0.841484,0.114587,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 800, 100, 1)",sigmoid,SGD,100.0,100.0,800.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.760155,0.858816,0.129791,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 800, 100, 100, 1)",sigmoid,SGD,100.0,800.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.760228,0.864447,0.137089,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(800, 100, 100, 100, 1)",sigmoid,SGD,800.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.75566,0.830335,0.09882,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 900, 1)",sigmoid,SGD,100.0,100.0,100.0,900.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7574489999999999,0.832823,0.099511,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 900, 100, 1)",sigmoid,SGD,100.0,100.0,900.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.762404,0.8575649999999999,0.124816,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 900, 100, 100, 1)",sigmoid,SGD,100.0,900.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.765265,0.8611780000000001,0.125333,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(900, 100, 100, 100, 1)",sigmoid,SGD,900.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.759875,0.8298969999999999,0.09215,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 100, 1000, 1)",sigmoid,SGD,100.0,100.0,100.0,1000.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7573529999999999,0.8415870000000001,0.111222,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 1000, 100, 1)",sigmoid,SGD,100.0,100.0,1000.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7577619999999999,0.848115,0.119237,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 1000, 100, 100, 1)",sigmoid,SGD,100.0,1000.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.755128,0.876492,0.160719,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(1000, 100, 100, 100, 1)",sigmoid,SGD,1000.0,100.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.758025,0.847352,0.117843,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 200, 200, 1)",sigmoid,SGD,100.0,100.0,200.0,200.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.757443,0.8462049999999999,0.1171859999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 200, 100, 200, 1)",sigmoid,SGD,100.0,200.0,100.0,200.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.756663,0.854231,0.128944,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 200, 200, 100, 1)",sigmoid,SGD,100.0,200.0,200.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.756475,0.8633850000000001,0.141326,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 100, 100, 200, 1)",sigmoid,SGD,200.0,100.0,100.0,200.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7580319999999999,0.8670120000000001,0.143766,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 100, 200, 100, 1)",sigmoid,SGD,200.0,100.0,200.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.757883,0.884685,0.16731,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 200, 100, 100, 1)",sigmoid,SGD,200.0,200.0,100.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.7563300000000001,0.846226,0.1188579999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 200, 300, 1)",sigmoid,SGD,100.0,100.0,200.0,300.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.759441,0.8462,0.11424,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 100, 300, 200, 1)",sigmoid,SGD,100.0,100.0,300.0,200.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.752563,0.8456809999999999,0.123733,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 200, 100, 300, 1)",sigmoid,SGD,100.0,200.0,100.0,300.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.762165,0.861574,0.13043,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 200, 300, 100, 1)",sigmoid,SGD,100.0,200.0,300.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.76058,0.850448,0.118157,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 300, 100, 200, 1)",sigmoid,SGD,100.0,300.0,100.0,200.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.75931,0.8734049999999999,0.1502619999999999,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(100, 300, 200, 100, 1)",sigmoid,SGD,100.0,300.0,200.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.76366,0.861933,0.128686,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 100, 100, 300, 1)",sigmoid,SGD,200.0,100.0,100.0,300.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.764185,0.860632,0.126209,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 100, 300, 100, 1)",sigmoid,SGD,200.0,100.0,300.0,100.0,4.0
'deep learning keras','Chuhans-MBP.fios-router.home',26.246992624,0.759207,0.879532,0.158487,0,0,536,0,0,100,relu,relu,18,he_normal,0.1,binary_crossentropy,2,0,"(200, 300, 100, 100, 1)",sigmoid,SGD,200.0,300.0,100.0,100.0,4.0
