ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.437192,0.428869,0.019036,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.001,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.505957,0.507189,0.002435,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.002,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.536756,0.53466,0.003905,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.003,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.597484,0.613091,0.02612,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.004,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.626344,0.640462,0.022541,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.005,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.624974,0.642072,0.027357,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.006,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.646494,0.665806,0.029872,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.007,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.648578,0.664323,0.024275,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.008,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.649138,0.665272,0.024855,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.009,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.66894,0.681028,0.018071,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.666865,0.697011,0.045206,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.011,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.68399,0.695893,0.017403,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.012,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.691444,0.707399,0.023075,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.013,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.682209,0.708077,0.037918,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.014,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.697691,0.718321,0.029568,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.015,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.695483,0.723855,0.040794,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.016,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.704198,0.728492,0.034499,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.017,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.697763,0.72371,0.037187,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.018,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.706356,0.729724,0.033082,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.019,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.709679,0.737785,0.039605,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.02,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.708097,0.733019,0.035196,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.021,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.703561,0.736687,0.047084,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.022,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.713062,0.742958,0.041927,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.023,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.711592,0.742561,0.04352,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.024,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.718281,0.749683,0.043719,0.01,0.01,402,0.0001,0.2,50,relu,relu,20,glorot_normal,0.025,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
