ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.703423,0.713176,0.013865,0.02,0.02,1,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.498862,0.507239,0.016791,0.02,0.02,11,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.473404,0.496716,0.049243,0.02,0.02,21,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.468067,0.465276,0.005963,0.02,0.02,31,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.552305,0.547868,0.008033,0.02,0.02,41,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.504135,0.476589,0.054641,0.02,0.02,51,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.608079,0.589871,0.029942,0.02,0.02,61,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.619029,0.622172,0.005078,0.02,0.02,71,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.617846,0.611076,0.010958,0.02,0.02,81,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.671459,0.674908,0.005135,0.02,0.02,91,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.574586,0.584628,0.017477,0.02,0.02,101,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.483265,0.502334,0.039458,0.02,0.02,111,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.655403,0.643295,0.018474,0.02,0.02,121,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.660688,0.658515,0.003289,0.02,0.02,131,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.635285,0.653821,0.029177,0.02,0.02,141,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.589421,0.591572,0.00365,0.02,0.02,151,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.604444,0.602035,0.003986,0.02,0.02,161,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.639564,0.657877,0.028635,0.02,0.02,171,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.585521,0.577759,0.013257,0.02,0.02,181,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.638189,0.643559,0.008415,0.02,0.02,191,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.662269,0.644659,0.026591,0.02,0.02,201,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras','P-CS-DTJWZC3',5.405329217183771,0.614881,0.618227,0.00544,0.02,0.02,211,0.001,0.5,20,relu,relu,31,glorot_normal,0.05,binary_crossentropy,3,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
