ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.7207,0.755063,0.047679,0.01,0.01,1,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.732841,0.7758,0.05862,0.01,0.01,6,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.731297,0.775321,0.060201,0.01,0.01,11,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.734521,0.779381,0.061074,0.01,0.01,16,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.733732,0.776334,0.058062,0.01,0.01,21,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.734741,0.776582,0.056946,0.01,0.01,26,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.73442,0.774062,0.053976,0.01,0.01,31,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.728012,0.769951,0.057608,0.01,0.01,36,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.729143,0.768291,0.05369,0.01,0.01,41,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.731535,0.767982,0.049822,0.01,0.01,46,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.730693,0.766231,0.048637,0.01,0.01,51,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.730598,0.765038,0.04714,0.01,0.01,56,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.725895,0.763446,0.05173,0.01,0.01,61,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.725055,0.76305,0.052403,0.01,0.01,66,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.721169,0.756708,0.049281,0.01,0.01,71,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.723488,0.757146,0.046522,0.01,0.01,76,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.725517,0.759759,0.047197,0.01,0.01,81,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.722641,0.751246,0.039585,0.01,0.01,86,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.721787,0.75664,0.048287,0.01,0.01,91,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.722425,0.752256,0.041293,0.01,0.01,96,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.71586,0.749289,0.046698,0.01,0.01,101,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717973,0.747698,0.041402,0.01,0.01,106,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.716046,0.750759,0.048479,0.01,0.01,111,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.713574,0.741631,0.039318,0.01,0.01,116,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717236,0.746671,0.041039,0.01,0.01,121,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.711695,0.745192,0.047065,0.01,0.01,126,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.713989,0.743864,0.041841,0.01,0.01,131,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.712259,0.743358,0.043663,0.01,0.01,136,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717639,0.742488,0.034627,0.01,0.01,141,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.707956,0.737003,0.041029,0.01,0.01,146,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.714056,0.742782,0.04023,0.01,0.01,151,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.711048,0.736215,0.035395,0.01,0.01,156,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.699661,0.728888,0.041773,0.01,0.01,161,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.704715,0.730022,0.03591,0.01,0.01,166,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.70467,0.730645,0.036862,0.01,0.01,171,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.705502,0.73189,0.037403,0.01,0.01,176,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.70866,0.733597,0.035189,0.01,0.01,181,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.694845,0.721015,0.037663,0.01,0.01,186,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.701078,0.727066,0.037069,0.01,0.01,191,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.703119,0.728329,0.035854,0.01,0.01,196,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.703393,0.731945,0.040592,0.01,0.01,201,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.699659,0.724937,0.03613,0.01,0.01,206,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.697497,0.725109,0.039587,0.01,0.01,211,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.698051,0.722223,0.034629,0.01,0.01,216,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.700938,0.725427,0.034937,0.01,0.01,221,0.0001,0.2,50,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
