ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.609003,0.598759,0.016822,0.01,0.01,402,0.0001,0.2,5,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.608127,0.612216,0.006724,0.01,0.01,402,0.0001,0.2,10,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.633965,0.632089,0.002958,0.01,0.01,402,0.0001,0.2,15,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.656239,0.659074,0.004319,0.01,0.01,402,0.0001,0.2,20,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.647347,0.650893,0.005478,0.01,0.01,402,0.0001,0.2,25,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.661241,0.66771,0.009783,0.01,0.01,402,0.0001,0.2,30,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.670025,0.672777,0.004108,0.01,0.01,402,0.0001,0.2,35,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.673114,0.679525,0.009524,0.01,0.01,402,0.0001,0.2,40,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.676539,0.681147,0.006812,0.01,0.01,402,0.0001,0.2,45,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.674999,0.6789,0.005779,0.01,0.01,402,0.0001,0.2,50,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.679084,0.682042,0.004354,0.01,0.01,402,0.0001,0.2,55,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.677528,0.681405,0.005723,0.01,0.01,402,0.0001,0.2,60,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.677492,0.684724,0.010675,0.01,0.01,402,0.0001,0.2,65,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.686987,0.688706,0.002502,0.01,0.01,402,0.0001,0.2,70,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.689291,0.691568,0.003304,0.01,0.01,402,0.0001,0.2,75,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.690619,0.697306,0.009683,0.01,0.01,402,0.0001,0.2,80,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.685331,0.689664,0.006322,0.01,0.01,402,0.0001,0.2,85,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.693233,0.697784,0.006565,0.01,0.01,402,0.0001,0.2,90,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.692764,0.696987,0.006096,0.01,0.01,402,0.0001,0.2,95,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.698001,0.697974,3.9e-05,0.01,0.01,402,0.0001,0.2,100,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.697065,0.702487,0.007778,0.01,0.01,402,0.0001,0.2,110,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.701189,0.706583,0.007693,0.01,0.01,402,0.0001,0.2,120,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.696801,0.705722,0.012802,0.01,0.01,402,0.0001,0.2,130,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.704067,0.7069,0.004024,0.01,0.01,402,0.0001,0.2,140,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.705505,0.707075,0.002226,0.01,0.01,402,0.0001,0.2,150,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.70677,0.712459,0.008051,0.01,0.01,402,0.0001,0.2,160,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.706589,0.711204,0.006532,0.01,0.01,402,0.0001,0.2,170,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.710518,0.715051,0.00638,0.01,0.01,402,0.0001,0.2,180,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.710985,0.716277,0.007444,0.01,0.01,402,0.0001,0.2,190,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.710468,0.714875,0.006203,0.01,0.01,402,0.0001,0.2,200,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.71049,0.716698,0.008736,0.01,0.01,402,0.0001,0.2,210,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.711652,0.717802,0.008642,0.01,0.01,402,0.0001,0.2,220,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.713263,0.717373,0.005761,0.01,0.01,402,0.0001,0.2,230,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.715616,0.7165,0.001236,0.01,0.01,402,0.0001,0.2,240,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.716732,0.719133,0.00335,0.01,0.01,402,0.0001,0.2,250,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.717374,0.721515,0.005772,0.01,0.01,402,0.0001,0.2,260,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.713353,0.719684,0.008874,0.01,0.01,402,0.0001,0.2,270,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.716218,0.721924,0.007967,0.01,0.01,402,0.0001,0.2,280,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
